,OA11CD,locationCount,lng,lat
66,E00004180,19,-0.12502648143259135,51.525264599595864
67,E00004528,37,-0.12334082900011543,51.51549763707118
68,E00004705,1,-0.14433819671407055,51.53560471947389
69,E00004560,83,-0.12321412262273804,51.516971919505664
70,E00004561,6,-0.12582813442310561,51.517293456799194
71,E00004194,5,-0.1409239793161145,51.5226798227617
72,E00004193,29,-0.1317303055295856,51.522173294965675
73,E00004199,151,-0.13435944852420764,51.51936082447243
74,E00004198,113,-0.13601843326737836,51.52056794764753
75,E00004658,25,-0.1214384197819991,51.529431362198366
76,E00004650,18,-0.12713047677009837,51.526050238523865
77,E00004651,1,-0.11677842298574014,51.52551270011383
78,E00004653,1,-0.12374012835370049,51.52664587734153
79,E00004669,3,-0.12024159472024173,51.52800075075869
80,E00004536,21,-0.10917192815834342,51.5220524515825
81,E00004522,1035,-0.1273294966776932,51.51631736311812
82,E00004525,44,-0.12053891498703884,51.51687711147932
83,E00004694,235,-0.13551060481220883,51.52862516212998
84,E00004696,1,-0.14202102527896066,51.5273836617982
85,E00004169,27,-0.1242927705664815,51.52019935603201
86,E00004553,19,-0.11073649493087663,51.51996114321491
87,E00004554,105,-0.1198535132635154,51.51912887321287
88,E00004557,7,-0.10943265346878946,51.518539999685004
89,E00004556,25,-0.11248010507256286,51.520078945029624
90,E00004551,13,-0.106696524649168,51.52036742969256
91,E00004188,12,-0.13640240977225965,51.52357755675723
92,E00004181,18,-0.12448928437701776,51.52412658064935
93,E00004678,8,-0.12073021732718235,51.526504850842855
94,E00004655,21,-0.11743847679649536,51.52459795134796
95,E00004652,6,-0.12850834420267587,51.52625519169876
96,E00004656,45,-0.11871366704227948,51.525929070947306
97,E00004173,667,-0.13249314436945245,51.525925407708336
98,E00174653,113,-0.13380892458367255,51.52295554729633
99,E00174651,8,-0.13927228302244707,51.52207681000087
100,E00174652,1,-0.1333543453130862,51.52120103745813
101,E00004731,183,-0.12802202540433444,51.52985290955383
102,E00004683,1,-0.14196630730971796,51.52955445660312
103,E00004521,25,-0.12148452238586487,51.52006403555934
104,E00174679,42,-0.12047611023924605,51.52446650925144
105,E00174676,6,-0.1274662421204701,51.52453815631296
106,E00174675,13,-0.11589424028893942,51.52189074529469
107,E00004649,18,-0.1250509022984496,51.52624958883492
