,OA11CD,locationCount
979,E00020136,1
980,E00020134,1
981,E00020139,10
982,E00020138,1
983,E00019810,3
984,E00019813,7
985,E00019978,1
986,E00019979,2
987,E00020306,1
988,E00019801,18
989,E00019800,8
990,E00020099,2
991,E00019953,1
992,E00019956,2
993,E00019957,2
994,E00020207,1
995,E00020003,2
996,E00019839,81
997,E00019831,2
998,E00168079,10
999,E00020100,2
1000,E00020040,3
1001,E00019927,3
1002,E00166633,21
1003,E00166630,5
1004,E00020031,1
1005,E00020030,1
1006,E00020033,2
1007,E00168027,129
1008,E00168026,29
1009,E00019723,3
1010,E00167508,2
1011,E00167505,21
1012,E00019949,5
1013,E00166632,507
1014,E00167979,300
1015,E00019923,15
1016,E00020096,2
1017,E00019960,86
1018,E00019963,11
1019,E00167992,8
1020,E00167482,6
1021,E00167982,50
1022,E00167981,5
1023,E00167987,3
1024,E00167985,5
1025,E00020260,12
1026,E00020006,4
1027,E00020007,3
1028,E00019841,1
1029,E00019842,11
1030,E00020126,2
1031,E00168082,3
1032,E00020255,354
1033,E00020133,1
1034,E00020106,4
1035,E00020107,1
1036,E00020008,1046
1037,E00168018,3
1038,E00019931,5
1039,E00019738,1
1040,E00019731,1
1041,E00019995,8
1042,E00019997,5
1043,E00019766,200
1044,E00019764,1
1045,E00019823,1
1046,E00019822,19
1047,E00019824,1
1048,E00019825,1
1049,E00019818,32
1050,E00019819,2
1051,E00167975,2
1052,E00019778,4
1053,E00019779,889
1054,E00020035,99
1055,E00019728,2
1056,E00019815,2
1057,E00019814,1
1058,E00019812,7
1059,E00019802,1
1060,E00019805,5
1061,E00020010,58
1062,E00020012,7
1063,E00019785,4
1064,E00019707,1
1065,E00019706,12
1066,E00019784,175
1067,E00019705,21
1068,E00019726,1
1069,E00019727,3
1070,E00167499,3
1071,E00167494,2
1072,E00020021,2
1073,E00020111,9
1074,E00020113,15
1075,E00020112,2
1076,E00167479,1
1077,E00167478,2
1078,E00019836,4
1079,E00019947,1
1080,E00020110,3
1081,E00020102,2
1082,E00020105,1
1083,E00020044,24
1084,E00020043,1
1085,E00019929,3
1086,E00019788,21
1087,E00168023,1
1088,E00019945,4
1089,E00019755,2
1090,E00019754,36
1091,E00019943,13
1092,E00167995,12
1093,E00019791,4
1094,E00019793,32
1095,E00019794,4
1096,E00019790,10
1097,E00019740,1
1098,E00019967,5
1099,E00019962,2
1100,E00020685,4
1101,E00021694,1
1102,E00021266,1
1103,E00021689,36
1104,E00021238,1
1105,E00021692,85
1106,E00021686,17
1107,E00167139,1
1108,E00021681,1
1109,E00021230,1
1110,E00021628,143
1111,E00167177,1
1112,E00021813,1
1113,E00021899,1
1114,E00170943,31
1115,E00022966,3
1116,E00171047,17
1117,E00022910,1
1118,E00023068,2
1119,E00171061,8
1120,E00022980,1
1121,E00022981,1
1122,E00023052,17
1123,E00171066,1
1124,E00022977,1
1125,E00022974,62
1126,E00022975,6
1127,E00022972,27
1128,E00022952,669
1129,E00171041,24
1130,E00170946,1
1131,E00022684,1
1132,E00171068,1
1133,E00023059,2
1134,E00023054,41
1135,E00023056,10
1136,E00170968,10
1137,E00024125,16
1138,E00024126,10
1139,E00023936,3174
1140,E00023932,672
1141,E00023516,1
1142,E00023719,2
1143,E00023714,55
1144,E00024085,7
1145,E00023814,1
1146,E00024007,6
1147,E00023817,13
1148,E00023815,2
1149,E00175263,1
1150,E00023699,9
1151,E00023618,24
1152,E00023690,3
1153,E00023610,2
1154,E00023691,6
1155,E00023698,36
1156,E00023619,5
1157,E00024127,45
1158,E00023937,642
1159,E00023934,143
1160,E00023935,993
1161,E00024124,165
1162,E00023556,4
1163,E00023557,11
1164,E00023554,1
1165,E00023634,1
1166,E00023632,9
1167,E00024138,133
1168,E00023989,1
1169,E00023480,10
1170,E00023489,14
1171,E00023482,4
1172,E00023481,16
1173,E00023484,2
1174,E00023483,3
1175,E00023487,134
1176,E00023486,10
1177,E00023713,7
1178,E00024050,220
1179,E00023821,36
1180,E00024053,14
1181,E00023820,2
1182,E00024052,2
1183,E00023823,30
1184,E00024055,5
1185,E00023822,33
1186,E00175198,260
1187,E00023528,1
1188,E00023523,4
1189,E00023521,15
1190,E00023498,1
1191,E00023746,63
1192,E00023503,14
1193,E00023505,2
1194,E00023502,4
1195,E00023586,1
1196,E00023507,43
1197,E00023500,3
1198,E00024078,5
1199,E00023848,3
1200,E00023849,1
1201,E00024070,5
1202,E00023672,16
1203,E00023504,52
1204,E00023506,26
1205,E00023501,12
1206,E00024056,1
1207,E00024059,2
1208,E00024051,4
1209,E00023759,21
1210,E00175249,509
