,geometry,locationCount,locationID,lng,lat
27,POINT (-0.0405299 51.52088),1,26671874.0,-0.0405299,51.52088
28,POINT (-0.28268004952381 51.609231472222),2,550213593.0,-0.28268004952381,51.609231472222
29,POINT (-0.142 51.5153),1,493437923.0,-0.142,51.5153
30,POINT (-0.20651867599214 51.518149),1,306070405.0,-0.20651867599214,51.518149
31,POINT (-0.2533150990276 51.52356596888),1,74799392.0,-0.2533150990276,51.52356596888
32,POINT (-0.291218575 51.517132248333),1,829064913.0,-0.291218575,51.517132248333
33,POINT (-0.3879643968702 51.517150131825),1,1028499399.0,-0.3879643968702,51.517150131825
34,POINT (-0.020060241222382 51.505074652434),1,18915177.0,-0.020060241222382,51.505074652434
35,POINT (-0.1391289 51.5126821),1,406253396.0,-0.1391289,51.5126821
36,POINT (-0.2559177 51.5052065),1,251469247.0,-0.2559177,51.5052065
37,POINT (-0.016388888888889 51.502777777778),1,278715960.0,-0.016388888888889,51.502777777778
38,POINT (-0.041124528460514 51.495408200834),2,252196419.0,-0.041124528460514,51.495408200834
39,POINT (0.28133989291511 51.486789820526),1,7095255.0,0.28133989291511,51.486789820526
40,POINT (0.16404268797243 51.489519147139),1,302466340.0,0.16404268797243,51.489519147139
41,POINT (-0.12424713000667 51.509442599183),1,334633054.0,-0.12424713000667,51.509442599183
42,POINT (-0.159377 51.491386),1,1053599828007566.0,-0.159377,51.491386
43,POINT (-0.18365678045591 51.490841039442),1,1618737.0,-0.18365678045591,51.490841039442
44,POINT (-0.25694066096708 51.49219137276),1,231684410.0,-0.25694066096708,51.49219137276
45,POINT (0.08468000000000001 51.482),1,548525025.0,0.08468,51.482
46,POINT (-0.028739619025642 51.475286415002),1,228576355.0,-0.028739619025642,51.475286415002
47,POINT (0.13238573746133 51.473495275027),1,128344610561541.0,0.13238573746133,51.473495275027
48,POINT (-0.06732299999998601 51.470131),1,101027596.0,-0.067322999999986,51.470131
49,POINT (-0.0681262 51.4697437),1,395214555.0,-0.0681262,51.4697437
50,POINT (-0.34086855785559 51.467022352204),1,767567068.0,-0.34086855785559,51.467022352204
51,POINT (-0.3486079538962 51.473994796834),1,901957793.0,-0.3486079538962,51.473994796834
52,POINT (-0.365666 51.4682749),1,258182003.0,-0.365666,51.4682749
53,POINT (-0.3841719 51.46451304),1,406099336.0,-0.3841719,51.46451304
54,POINT (-0.09690636536158299 51.456577861881),1,669030276.0,-0.096906365361583,51.456577861881
