,OA11CD,count,lng,lat,POPDEN,WD11NM_BF
11685,E00167487,326,-0.04825767410145505,51.497603429188864,116.5,Rotherhithe
11686,E00167480,4,-0.0988361151437372,51.490200952266036,394.0,Newington
11687,E00019797,2,-0.09734308807109868,51.4998235402913,265.6,Cathedrals
11688,E00165809,6,-0.10552184195627147,51.50115559344489,111.0,Cathedrals
11689,E00165808,12,-0.10692274021552657,51.50080602130606,186.4,Cathedrals
11690,E00019959,6,-0.0822279290354561,51.489865721362705,209.1,East Walworth
11691,E00019958,1,-0.08958392299066346,51.49049342847391,521.3,East Walworth
11692,E00167984,1,-0.05656403818343374,51.48482379820313,107.4,Livesey
11693,E00020519,26,-0.0856010311877215,51.453932869863024,33.8,Village
11694,E00019717,37,-0.08375404844910594,51.47398203848519,212.4,Brunswick Park
11695,E00167477,79,-0.07270153710178841,51.5022443497246,298.7,Riverside
11696,E00020084,20,-0.05924140246422264,51.474476245564745,136.2,Livesey
11697,E00020005,11,-0.09401755726942196,51.487597884625806,161.4,Faraday
11698,E00020447,3,-0.03500598022085103,51.49903075750146,87.0,Surrey Docks
11699,E00020444,2,-0.03317201644005187,51.50182605138517,198.0,Surrey Docks
11700,E00020446,180,-0.042688316557359954,51.49674491243784,25.0,Surrey Docks
11701,E00019690,2,-0.08397814596570895,51.47917031981954,178.8,Brunswick Park
11702,E00019691,2,-0.08436667437612165,51.47599586352976,158.3,Brunswick Park
11703,E00019692,12,-0.08666515402515083,51.4762623661623,98.2,Brunswick Park
11704,E00020445,7,-0.03548350001961567,51.50238136460165,96.5,Surrey Docks
11705,E00167762,6,-0.06821927563777223,51.444110055667494,127.6,College
11706,E00167763,5,-0.09983789585808267,51.492792528593064,1917.6,Newington
11707,E00020488,2,-0.06094852427907794,51.46510557216809,81.1,The Lane
11708,E00020489,2,-0.05737475622446263,51.46709999688819,91.9,The Lane
11709,E00020408,49,-0.07878244812045312,51.46241686275291,100.8,South Camberwell
11710,E00167760,50,-0.1016827699244353,51.49438318411057,52.9,Cathedrals
11711,E00167766,5,-0.08957510019545854,51.49958614458424,140.6,Chaucer
11712,E00020219,7,-0.04628128249356494,51.45352806043566,13.6,Peckham Rye
11713,E00019903,2,-0.07734609292049828,51.45795780389716,108.1,East Dulwich
11714,E00020147,33,-0.049035291247489635,51.46174063115316,21.2,Nunhead
11715,E00020069,1,-0.06933252208010807,51.48102462920198,195.8,Livesey
11716,E00020146,1,-0.05754545268670797,51.46470562895194,140.1,Nunhead
11717,E00019902,126,-0.07568649540356426,51.45905055520686,137.5,East Dulwich
11718,E00019984,19,-0.08442576806068965,51.48605777475456,157.8,Faraday
11719,E00019905,7,-0.07375946554944766,51.45847801329559,138.4,East Dulwich
11720,E00019985,1,-0.09228823366119415,51.48503037388123,300.9,Faraday
11721,E00019981,193,-0.08344219348392937,51.48348546030253,20.9,Faraday
11722,E00020144,6,-0.05915212131511477,51.47176326644665,103.2,Nunhead
11723,E00020185,11,-0.06546726449745138,51.47797563988929,180.9,Peckham
11724,E00020104,3,-0.10104192369460294,51.48962007977782,147.4,Newington
11725,E00020324,17,-0.05690965302608724,51.49160482364736,127.2,Rotherhithe
11726,E00020323,3,-0.04514979600364427,51.49142153553228,124.4,Rotherhithe
11727,E00020320,58,-0.05753824880519051,51.49353429099323,67.6,Rotherhithe
11728,E00020046,2,-0.07766612545940779,51.49783940965003,211.8,Grange
11729,E00019875,10,-0.0891854401036466,51.436142132153414,53.9,College
11730,E00019876,52,-0.08330838459526084,51.434270344512925,24.7,College
11731,E00019877,1,-0.0877038474461691,51.43439328405962,31.9,College
11732,E00019873,115,-0.07891869108988876,51.4386324540475,4.6,College
11733,E00019921,11,-0.06987686641874719,51.45216362416314,85.8,East Dulwich
11734,E00020196,1,-0.0769862592973524,51.47665089481014,189.0,Peckham
11735,E00020172,7,-0.05588435956496333,51.46568993113865,115.9,Nunhead
11736,E00019780,3,-0.09387877502495726,51.50553291963247,66.5,Cathedrals
11737,E00019781,21,-0.10366115285131836,51.50538776433628,49.3,Cathedrals
11738,E00019700,4,-0.08167316570273322,51.471421350344826,134.2,Brunswick Park
11739,E00019782,2,-0.09614458793666263,51.505839643464924,158.4,Cathedrals
11740,E00019703,8,-0.09021404465845063,51.46948499370566,35.1,Brunswick Park
11741,E00019783,17,-0.09576195444631273,51.504155387388685,80.3,Cathedrals
11742,E00020499,221,-0.08982837620657713,51.446735946580986,14.9,Village
11743,E00167688,23,-0.07385105661843264,51.503339223731196,466.7,Riverside
11744,E00020269,4,-0.07038601979652878,51.50123337396167,211.2,Riverside
11745,E00020070,4,-0.06726866648564574,51.48072822626923,86.8,Livesey
11746,E00020078,3,-0.05876048005859925,51.47925553888621,89.2,Livesey
11747,E00020373,6,-0.07178630396229818,51.49063454139934,202.1,South Bermondsey
11748,E00019760,2,-0.09788347828911262,51.47949604751298,420.3,Camberwell Green
11749,E00019763,2,-0.08822527341149518,51.47923921037202,130.7,Camberwell Green
11750,E00019762,5,-0.10270456183119242,51.47874079695747,54.4,Camberwell Green
